id,Paper,Name,Alloy,Nb of phase,Phase,Experimental or theoretical,Experimental details,Theoretical details,Special conditions,Type of solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,IrLaPdPtRhRu,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process + H2 post-treatment, Flame synthesis: La(NO3)3·6H2O added to Ru/Rh/Pd/Ir/Pt chlorides; ~720°C; carbon support, Post treatment: H2 atmosphere, 800-1000°C, Reference: Supplementary Figs. 50-52",N/A,Ceramic element requiring H2 post-treatment for reduction and incorporation into HEA,Single Solid Solution
1,parsed_output-10.1038-s41467-026-72958-9.pdf.md,parsed_output-10.1038-s41467-026-72958-9.pdf.md,IrMgPdPtRhRu,1,FCC,experimental,"Method: Non-equilibrium reducing flame aerosol process + H2 post-treatment, Flame synthesis: Mg(NO3)2·6H2O added to Ru/Rh/Pd/Ir/Pt chlorides; ~720°C; carbon support, Post treatment: H2 atmosphere, 800-1000°C, Reference: Supplementary Figs. 50-52",N/A,Ceramic element requiring H2 post-treatment for reduction and incorporation into HEA,Single Solid Solution
2,parsed_output-d6ra03618j.pdf.md,parsed_output-d6ra03618j.pdf.md,AlCoCuFeNi,4,"BCC + FCC + primitive cubic (CsCl-type ordered BCC) B2 + Fe, Cu, O enriched nanoscale oxides (likely Fe2O3, CuO/Cu2O, and possibly high-entropy oxides)",experimental,"Method: Arc melting → single-roller melt spinning → mechanical ball milling, Arc melting: {'atmosphere': 'Ti-gettered argon', 'raw_material_purity': '>99.9%', 'temperature': 'Not specified', 'time': 'Not specified'}, Melt spinning: {'atmosphere': 'Argon', 'wheel_speed': 'Not specified', 'melt_temperature': 'Not specified', 'ejection_pressure': 'Not specified'}, Ball milling: {'rotational_speed': '280 rpm', 'duration': '90 minutes', 'ball_to_material_ratio': '20:1', 'ball_diameters': '8 mm and 6 mm (mixed)', 'atmosphere': 'Not specified'}",N/A,Partially ordered structure (B2 phase) present in initial state; initial state refers to as-synthesized powder before catalytic reaction (no oxidation yet),Mixed Solution
2,parsed_output-d6ra03618j.pdf.md,parsed_output-d6ra03618j.pdf.md,AlCoCuFeNi,3,BCC + FCC + primitive cubic (CsCl-type ordered BCC) B2,experimental,"Method: Arc melting → single-roller melt spinning → mechanical ball milling, Arc melting: {'atmosphere': 'Ti-gettered argon', 'raw_material_purity': '>99.9%', 'temperature': 'Not specified', 'time': 'Not specified'}, Melt spinning: {'atmosphere': 'Argon', 'wheel_speed': 'Not specified', 'melt_temperature': 'Not specified', 'ejection_pressure': 'Not specified'}, Ball milling: {'rotational_speed': '200 rpm', 'duration': '90 minutes', 'ball_to_material_ratio': '20:1', 'ball_diameters': '8 mm and 6 mm (mixed)', 'atmosphere': 'Not specified'}",N/A,Partially ordered structure (B2 phase) present in initial state; irregular morphology with roughened surfaces and asperities (SEM evidence),Mixed Solution
2,parsed_output-d6ra03618j.pdf.md,parsed_output-d6ra03618j.pdf.md,AlCoCuFeNi,3,BCC + FCC + primitive cubic (CsCl-type ordered BCC) B2,experimental,"Method: Commercial gas atomization (purchased from Beijing Yijin New Material Technology Co., Ltd), Particle size: 1–25 μm, Morphology: Spherical, smooth surfaces, Atmosphere: Not specified (commercial process), Temperature: Not specified, Pressure: Not specified",N/A,Partially ordered structure (B2 phase) present in initial state; spherical morphology with smooth surfaces; EDS confirms uniform elemental distribution of all five elements,Mixed Solution
2,parsed_output-d6ra03618j.pdf.md,parsed_output-d6ra03618j.pdf.md,AlCoCuFeNi,3,BCC + FCC + primitive cubic (CsCl-type ordered BCC) B2,experimental,"Method: Commercial gas atomization (purchased from Beijing Yijin New Material Technology Co., Ltd), Particle size: 50–120 μm, Morphology: Spherical with some satellite balls, Atmosphere: Not specified (commercial process), Temperature: Not specified, Pressure: Not specified",N/A,Partially ordered structure (B2 phase) present in initial state; smooth spherical surfaces with some satellite balls; lowest specific surface area (1.93 m²/g),Mixed Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,CuNiPdPtRu,1,FCC,both,"Method: Solvothermal synthesis, Precursors: Pd(acac)2, Pt(acac)2, Ru(acac)3, Cu(acac)2, Ni(acac)2, Precursor concentration: 1×10^-3 mol/L each metal, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs (80°C, 6h reflux), Mixing: 8h ultrasonic stirring, Temperature: 220°C, Time: 4h, Autoclave: Teflon-lined steel, Cooling: furnace cooling to ambient, Washing: ethanol and acetone (twice each), Drying: 60°C, 6h","Method: Solvothermal synthesis, Precursors: Pd(acac)2, Pt(acac)2, Ru(acac)3, Cu(acac)2, Ni(acac)2, Precursor concentration: 1×10^-3 mol/L each metal, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs (80°C, 6h reflux), Mixing: 8h ultrasonic stirring, Temperature: 220°C, Time: 4h, Autoclave: Teflon-lined steel, Cooling: furnace cooling to ambient, Washing: ethanol and acetone (twice each), Drying: 60°C, 6h",Minor surface oxidation (amorphous oxide layers detected by XPS); metallic zero-valence states dominant. No partial ordering or intermetallic formation. Average particle size 17.5 ± 12.5 nm.,Single Solid Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,CuNiPtRu,1,FCC,experimental,"Method: Solvothermal synthesis, Precursors: Pt(acac)2, Ru(acac)3, Cu(acac)2, Ni(acac)2, Total metal concentration: 5×10^-3 mol/L, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs, Temperature: 220°C, Time: 4h, Drying: 60°C, 6h",N/A,"Shows reduced reaction rate and no phenyl group hydrogenation (only alkynyl groups hydrogenated, forming 8H-DEB).",Single Solid Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,CuNiPdRu,1,FCC,experimental,"Method: Solvothermal synthesis, Precursors: Pd(acac)2, Ru(acac)3, Cu(acac)2, Ni(acac)2, Total metal concentration: 5×10^-3 mol/L, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs, Temperature: 220°C, Time: 4h, Drying: 60°C, 6h",N/A,"Shows reduced reaction rate and no phenyl group hydrogenation (only alkynyl groups hydrogenated, forming 8H-DEB).",Single Solid Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,CuNiPdPt,1,FCC,experimental,"Method: Solvothermal synthesis, Precursors: Pd(acac)2, Pt(acac)2, Cu(acac)2, Ni(acac)2, Total metal concentration: 5×10^-3 mol/L, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs, Temperature: 220°C, Time: 4h, Drying: 60°C, 6h",N/A,"Produces mixture of 14H-DEB and 20H-DEB, indicating partial phenyl group hydrogenation capability.",Single Solid Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,NiPdPtRu,1,FCC,experimental,"Method: Solvothermal synthesis, Precursors: Pd(acac)2, Pt(acac)2, Ru(acac)3, Ni(acac)2, Total metal concentration: 5×10^-3 mol/L, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs, Temperature: 220°C, Time: 4h, Drying: 60°C, 6h",N/A,Shows reduced reaction rate compared to quinary alloy but maintains full phenyl hydrogenation capability (produces 26H-DEB).,Single Solid Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,CuPdPtRu,1,FCC,experimental,"Method: Solvothermal synthesis, Precursors: Pd(acac)2, Pt(acac)2, Ru(acac)3, Cu(acac)2, Total metal concentration: 5×10^-3 mol/L, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs, Temperature: 220°C, Time: 4h, Drying: 60°C, 6h",N/A,Shows slightly reduced reaction rate compared to quinary but maintains full phenyl hydrogenation capability (produces 26H-DEB). Smallest rate decrease when Ni is removed.,Single Solid Solution
3,parsed_output-10.1038-s41467-024-50009-5.pdf.md,parsed_output-10.1038-s41467-024-50009-5.pdf.md,PdPtRu,1,FCC,experimental,"Method: Solvothermal synthesis, Precursors: Pd(acac)2, Pt(acac)2, Ru(acac)3, Total metal concentration: 5×10^-3 mol/L, Solvent: ethanol:acetone = 1:1 (volume), Support: HNO3-oxidized CNFs, Temperature: 220°C, Time: 4h, Drying: 60°C, 6h",N/A,"Demonstrates that Pd, Pt, and Ru are the critical elements for complete hydrogenation of both alkynyl and phenyl groups in DEB.",Single Solid Solution
4,parsed_output-10.1007-s40820-026-02194-9.pdf.md,parsed_output-10.1007-s40820-026-02194-9.pdf.md,CuFeNi,1,FCC,experimental,"Method: In-situ exsolution from high-entropy perovskite SFMMCCN under H2 reduction, Temperature: 700, Time: 2 hours, Atmosphere: 100% H2, Precursor: Sr2Cr0.2Cu0.2Fe1Mo0.2Mn0.2Ni0.2O6-delta (SFMMCCN)",N/A,"Medium-entropy alloy (ΔS_config = 1.09 R, below high-entropy threshold of 1.5R). Coherent interface with perovskite matrix (d-spacing 0.28 nm matches perovskite (110) plane). Catalytically active form for NH3 decomposition.",Single Solid Solution
4,parsed_output-10.1007-s40820-026-02194-9.pdf.md,parsed_output-10.1007-s40820-026-02194-9.pdf.md,CrCuFeMnMoNiSr2O6-delta,1,double perovskite with B-site cation ordering,experimental,"Method: Sol-gel method, Precursors: Sr(NO3)2, Fe(NO3)3·9H2O, (NH4)2MoO4, Mn(NO3)2·6H2O, Cr(NO3)3·9H2O, Cu(NO3)2·3H2O, Ni(NO3)2·6H2O, Dissolution temperature: 80, Chelating agents: EDTA and citric acid, Ph: 8, Pre calcination: 300°C for 2 h, Final calcination: 1000°C for 5 h, Post milling: Ball-milled in ethanol",N/A,"High-entropy perovskite oxide (ΔS_config = 1.60 R). Initial state before reduction/oxidation. B-site contains 5 equimolar dopants (Mo, Mn, Cr, Cu, Ni) with Fe, showing partial B-site ordering characteristic of double perovskites.",Intermetallic
4,parsed_output-10.1007-s40820-026-02194-9.pdf.md,parsed_output-10.1007-s40820-026-02194-9.pdf.md,CrCuFeMnMoNiSr2O6-delta,2,double perovskite with B-site cation ordering + CuFeNi,experimental,"Method: Reduction of pristine SFMMCCN perovskite, Temperature: 700, Time: 2 hours, Atmosphere: 100% H2, Prior calcination: 1000°C for 5 h (sol-gel)",N/A,Reduced state after exsolution - this is the catalytically active form for NH3 decomposition. Shows high structural stability after 255 h of operation with no secondary phases detected.,Intermetallic
4,parsed_output-10.1007-s40820-026-02194-9.pdf.md,parsed_output-10.1007-s40820-026-02194-9.pdf.md,FeMoO6Sr2-delta,1,double perovskite,experimental,"Method: Sol-gel method, Precursors: Sr(NO3)2, Fe(NO3)3·9H2O, (NH4)2MoO4, Dissolution temperature: 80, Chelating agents: EDTA and citric acid, Ph: 8, Pre calcination: 300°C for 2 h, Final calcination: 1000°C for 5 h",N/A,Low-entropy control material. Used for comparison to demonstrate the effect of high-entropy design.,Intermetallic
4,parsed_output-10.1007-s40820-026-02194-9.pdf.md,parsed_output-10.1007-s40820-026-02194-9.pdf.md,CuFeMoNiO6Sr2-delta,1,double perovskite,experimental,"Method: Sol-gel method, Precursors: Sr(NO3)2, Fe(NO3)3·9H2O, (NH4)2MoO4, Cu(NO3)2·3H2O, Ni(NO3)2·6H2O, Dissolution temperature: 80, Chelating agents: EDTA and citric acid, Ph: 8, Pre calcination: 300°C for 2 h, Final calcination: 1000°C for 5 h",N/A,"Medium-entropy control material lacking Mn and Cr. Demonstrates that acidic dopants (Mn, Cr) are responsible for enhanced NH3 adsorption.",Intermetallic
4,parsed_output-10.1007-s40820-026-02194-9.pdf.md,parsed_output-10.1007-s40820-026-02194-9.pdf.md,BaCeZrYbYNiO,2,FCC Ni metal + perovskite oxide,experimental,"Method: Tape casting (anode support), Nio source: Sumitomo, Bzcyyb source: Kceracell, Weight ratio: NiO:BZCYYb = 6:4, Solvents: ethanol and toluene, Dispersant: Hypermer KD-1, Binder: polyvinyl butyral, Plasticizer: di-n-butyl phthalate, Pore former: poly(methyl methacrylate), Pre sintering: 900°C for 3 h, Co sintering: 1400°C for 5 min (microwave)",N/A,Bare anode without ACL. Shows NH3 conversion of ~60% at 600°C (higher than SFM and SFMCN due to metallic Ni activity). Rapid deactivation within 20 h under NH3 due to Ni coarsening and nitridation.,Mixed Solution
5,parsed_output-10.1038-s41377-024-01614-y.pdf.md,parsed_output-10.1038-s41377-024-01614-y.pdf.md,CoCrFeMnNi,2,FCC + C (graphene shell),experimental,"Method: Laser solid-phase synthesis on laser-induced graphene (LIG) support, Laser wavelength nm: 1064, Laser pulse width ns: 30, Laser power w: 15, 40, 65, Laser fluence mj per cm2: 58.9, 69.9, 96.8, Pulse repetition rate khz: 10, Scanning rate mm per s: 2000, Beam diameter um: 430, Atmosphere: Argon, Precursor concentration mm: 1, 5, 10, 15, 20, Precursor immersion time h: 8, Precursor drying: 80 °C vacuum, 1 h, Production rate g per h: 29.6, Peak surface temperature k: 1960 (measured), 2381 (simulated), Cooling rate k per s: 10^7 (simulated)",N/A,"Composition deviation from equimolar: Fe, Co, Ni contents higher than Cr and Mn due to partial Mn vaporization (Mn has lowest boiling point of 2334 K among the five elements). Graphene shell encapsulation forms during laser synthesis. No partial ordering observed.",Single Solid Solution
5,parsed_output-10.1038-s41377-024-01614-y.pdf.md,parsed_output-10.1038-s41377-024-01614-y.pdf.md,CoCrFeMnNiO,1,not reported,experimental,"Method: Laser solid-phase synthesis (extension of metallic HEA method, specific precursor modifications not detailed in main text), Same laser setup: as CrMnFeCoNi metallic HEA (1064 nm, 30 ns pulse, Ar atmosphere), Precursor modification: not specified in main text",N/A,"Synthesized directly in final oxidized state, not an oxidation product of pre-existing metallic alloy. No ordering assessment possible due to lack of diffraction data.",Intermetallic
5,parsed_output-10.1038-s41377-024-01614-y.pdf.md,parsed_output-10.1038-s41377-024-01614-y.pdf.md,CoCrFeMnNiS,1,not reported,experimental,"Method: Laser solid-phase synthesis (extension of metallic HEA method, specific precursor modifications not detailed in main text), Same laser setup: as CrMnFeCoNi metallic HEA (1064 nm, 30 ns pulse, Ar atmosphere), Precursor modification: not specified in main text",N/A,Synthesized directly in final sulfide state. No ordering assessment possible due to lack of diffraction data.,Intermetallic
5,parsed_output-10.1038-s41377-024-01614-y.pdf.md,parsed_output-10.1038-s41377-024-01614-y.pdf.md,CoCrFeMnNiP,1,not reported,experimental,"Method: Laser solid-phase synthesis (extension of metallic HEA method, specific precursor modifications not detailed in main text), Same laser setup: as CrMnFeCoNi metallic HEA (1064 nm, 30 ns pulse, Ar atmosphere), Precursor modification: not specified in main text",N/A,Synthesized directly in final phosphide state. No ordering assessment possible due to lack of diffraction data.,Intermetallic
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,AlNbTiZr,1,BCC,theoretical,N/A,"Method: Pseudo-density descriptor + Gaussian Process Regression (GPR) with Bayesian active learning, Pseudopotential: ONCV from SPMS library, Exchange correlation: PBE (GGA), Voxel size: 0.2 Å, Descriptor: 3 principal components (PC1~36%, PC2~2.5%, PC3~2% variance), Kernel: ARDSE, Optimizer: Adam (200 epochs, learning rate 0.1), Training samples bulk modulus: 10, Training samples formation energy: 18, Total compositions: 6545, Ground truth: Converged DFT (Barry et al.)","Composition space: AlαNbβTiγZrδ with α,β,γ,δ ∈ {0,4,...,128}, α+β+γ+δ=128; includes elemental, binary, ternary, quaternary compositions",Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,AlNbTiZr,1,BCC,theoretical,N/A,"Method: GPR with Bayesian active learning (training subset), Training samples: 30, Validation: Tested on Ti+Zr-dominant subset (NMAE=2.39%, R²=0.808), Descriptor: 3 PC scores from pseudo-density autocorrelations","Cross-group ablation: trained exclusively on Al+Nb-dominant compositions, tested on disjoint Ti+Zr-dominant compositions",Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,AlNbTiZr,1,BCC,theoretical,N/A,"Method: Evaluated as held-out test set (not trained on), Test metrics: NMAE=2.39%, R²=0.808 (at 30 training samples on Al+Nb side), Stable metrics: NMAE≈1.6-1.7%, R²≈0.89 (from 20 training samples onward)","Cross-group ablation: evaluated as disjoint test set, no direct compositional overlap with training data",Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,MoNbTaTiVWZr,1,BCC,theoretical,N/A,"Method: Zero-shot transfer from D₄-trained model + few-shot augmentation with 20 active D₇ samples, Base model training: 200 samples from D₄ (AlNbTiZr), Augmentation samples: 20, Test samples: 3675, Metrics: R²=0.85, NMAE=5.54%, MAE=9.20 GPa, Ground truth: Converged DFT (Barry et al.)","Contains Mo, Ta, V, W absent from training data (D₄); intra-family transfer within refractory BCC alloy class",Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,MoNbTaTiVWZr,1,BCC,theoretical,N/A,"Method: Zero-shot transfer from D₄-trained model + few-shot augmentation with 20 active D₇ samples, Base model training: 200 samples from D₄ (AlNbTiZr), Augmentation samples: 20, Test samples: 882, Metrics: R²=0.82, NMAE=4.16%, MAE=7.01 GPa, Ground truth: Converged DFT (Barry et al.)","Contains Mo, Ta, V, W absent from training data (D₄); intra-family transfer within refractory BCC alloy class",Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,MoNbTaTiVWZr,1,BCC,theoretical,N/A,"Method: Zero-shot transfer from D₄-trained model + few-shot augmentation with 20 active D₇ samples, Base model training: 200 samples from D₄ (AlNbTiZr), Augmentation samples: 20, Test samples: 49, Metrics: R²=0.68, NMAE=2.87%, MAE=4.89 GPa, Total compositions d7: 12012, Ground truth: Converged DFT (Barry et al.)","Contains Mo, Ta, V, W absent from training data (D₄); intra-family transfer within refractory BCC alloy class; coverage: 43.2% (±1σ), 78.8% (±2σ)",Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,MoNbTaTiVWZr,1,BCC,theoretical,N/A,"Method: Zero-shot and few-shot prediction (quartile analysis), Zero shot nmae: 10.17%, Few shot nmae: 8.67% (Q1-restricted augmentation), Augmentation note: All 20 active samples fall in Q1 (highest relative uncertainty)",Q1 compositions occupy transitional region of joint PC manifold; largest chemical gradient between D₄ and D₇,Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,MoNbTaTiVWZr,1,BCC,theoretical,N/A,"Method: Zero-shot and few-shot prediction (quartile analysis), Zero shot nmae: 3.86%, Few shot nmae: 4.32%, Note: Superior accuracy despite chemical novelty; d-electron autocorrelation signature coherently distinct",Q4 compositions dominated by elements entirely absent from D₄ training data; best prediction accuracy among quartiles,Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,AlNbTiZr,1,BCC,theoretical,N/A,"Method: DFT relaxation (VASP), Relaxation: Full optimization of ionic coordinates and cell volume, Lattice parameter range: 12.8-14.2 Å, Note: Manifold fractures into disjoint hyper-branched topology due to volumetric non-uniformity",Used in ablation study to demonstrate that relaxation fractures the PCA manifold; not used in primary prediction framework,Single Solid Solution
6,parsed_output-D6DD00105J.pdf.md,parsed_output-D6DD00105J.pdf.md,AlNbTiZr,1,BCC,theoretical,N/A,"Method: Machine-learned force field relaxation (MACE), Relaxation: Full optimization of ionic coordinates and cell volume, Note: Used in comparative ablation; same manifold fracturing behavior as VASP",Comparative relaxation study; demonstrates that volumetric dilation from relaxation is responsible for manifold fracturing regardless of relaxation method,Single Solid Solution
